file_name,hair_color,eyeglasses,smiling,young,human
1.png,1,-1,1,1,-1
2.png,4,-1,1,1,1
3.png,5,-1,1,-1,-1
7.png,2,-1,1,1,-1
8.png,3,-1,1,1,-1
9.png,1,1,1,1,-1
10.png,5,-1,1,-1,-1
12.png,1,-1,1,1,-1
13.png,3,-1,-1,1,1
14.png,4,-1,-1,1,1
16.png,5,1,1,-1,-1
17.png,4,-1,1,1,-1
18.png,4,1,1,1,-1
19.png,4,-1,-1,1,1
20.png,1,-1,-1,1,1
22.png,-1,-1,-1,1,1
23.png,-1,-1,1,1,1
24.png,5,1,1,-1,-1
25.png,1,-1,1,1,-1
26.png,2,-1,1,1,-1
28.png,3,1,1,1,-1
29.png,5,1,1,-1,-1
30.png,1,-1,1,-1,1
31.png,3,-1,-1,1,1
32.png,5,1,1,-1,-1
33.png,-1,-1,-1,1,1
34.png,1,1,1,1,-1
35.png,1,1,1,1,-1
36.png,2,1,1,1,-1
37.png,1,-1,1,1,-1
38.png,-1,-1,1,1,1
39.png,1,-1,1,1,1
40.png,1,-1,1,1,-1
41.png,3,-1,-1,1,1
42.png,-1,-1,1,1,1
43.png,4,-1,-1,1,1
44.png,1,1,1,1,-1
45.png,5,-1,1,-1,-1
46.png,4,1,1,1,-1
47.png,4,-1,1,1,1
48.png,4,-1,1,-1,1
49.png,4,-1,-1,1,1
50.png,4,-1,1,-1,1
51.png,3,-1,-1,1,1
52.png,4,1,1,-1,1
53.png,0,-1,1,1,1
54.png,4,-1,-1,1,1
55.png,1,1,1,1,-1
56.png,4,-1,1,1,1
57.png,3,-1,1,1,-1
59.png,1,1,1,1,-1
60.png,-1,-1,-1,-1,1
61.png,1,1,1,1,-1
62.png,5,-1,1,-1,-1
63.png,-1,-1,1,1,1
64.png,2,1,1,1,-1
65.png,-1,-1,1,-1,1
66.png,1,1,1,1,-1
68.png,4,1,1,1,-1
69.png,1,-1,1,1,-1
70.png,4,-1,-1,1,1
71.png,4,-1,1,1,-1
72.png,-1,-1,-1,-1,1
73.png,4,-1,1,1,-1
74.png,1,1,1,1,-1
75.png,1,1,1,1,-1
76.png,5,-1,1,-1,1
77.png,3,-1,1,1,-1
78.png,2,-1,1,1,-1
79.png,1,-1,1,1,-1
80.png,0,1,1,-1,1
81.png,-1,-1,-1,-1,1
82.png,2,-1,1,1,-1
83.png,2,-1,1,1,-1
84.png,1,1,1,1,-1
85.png,5,-1,1,-1,-1
86.png,3,-1,1,1,1
87.png,3,-1,1,1,1
88.png,4,-1,1,1,1
89.png,-1,-1,1,1,1
90.png,-1,-1,1,1,1
91.png,4,-1,-1,1,1
92.png,1,1,1,1,-1
93.png,4,-1,-1,1,1
94.png,3,-1,1,1,-1
95.png,5,-1,1,-1,-1
96.png,1,-1,1,1,-1
97.png,2,1,1,1,-1
98.png,4,-1,1,1,1
99.png,-1,-1,-1,1,1
100.png,4,-1,1,1,1
101.png,-1,-1,1,1,1
102.png,-1,-1,-1,1,1
103.png,2,-1,1,1,-1
104.png,4,-1,1,1,1
105.png,2,1,1,1,-1
106.png,1,-1,1,1,1
107.png,2,1,1,1,-1
108.png,5,1,1,-1,-1
109.png,2,-1,1,1,-1
110.png,4,-1,1,1,1
111.png,4,-1,1,1,-1
112.png,5,-1,1,-1,-1
113.png,5,1,1,-1,-1
114.png,1,-1,1,1,-1
115.png,4,-1,-1,1,1
116.png,3,-1,1,1,1
117.png,3,1,1,1,-1
118.png,1,1,1,1,-1
119.png,-1,-1,1,1,1
120.png,3,1,1,1,-1
121.png,1,1,1,1,-1
122.png,3,-1,1,1,-1
123.png,2,-1,1,1,-1
124.png,3,1,1,1,-1
126.png,5,1,1,-1,-1
127.png,2,1,1,1,-1
128.png,1,-1,-1,1,1
130.png,4,-1,1,1,-1
131.png,1,-1,1,1,-1
132.png,-1,-1,1,1,1
133.png,3,-1,1,1,-1
134.png,1,-1,1,1,1
135.png,1,1,1,1,-1
136.png,0,-1,1,1,1
137.png,1,-1,1,1,-1
138.png,-1,-1,-1,1,1
139.png,-1,1,-1,1,1
140.png,4,-1,1,1,-1
141.png,5,1,1,-1,-1
142.png,3,1,1,1,-1
143.png,5,-1,1,-1,-1
144.png,3,-1,1,1,1
145.png,2,1,1,1,-1
146.png,3,-1,1,1,-1
147.png,5,-1,-1,-1,1
148.png,2,1,1,1,-1
149.png,4,-1,1,1,-1
150.png,4,1,1,1,-1
152.png,4,1,1,1,-1
153.png,4,-1,1,1,1
154.png,3,-1,1,1,-1
155.png,5,-1,1,-1,-1
156.png,1,-1,1,1,-1
157.png,-1,-1,-1,-1,1
158.png,4,1,1,1,-1
159.png,1,-1,1,1,-1
160.png,4,-1,1,1,1
161.png,3,1,1,1,-1
162.png,3,1,1,1,-1
163.png,3,-1,1,1,-1
164.png,4,1,1,1,-1
165.png,5,1,1,-1,-1
166.png,1,1,1,1,-1
168.png,4,-1,1,1,-1
169.png,3,-1,1,1,-1
170.png,3,-1,-1,1,1
171.png,-1,-1,-1,1,1
172.png,2,-1,1,1,-1
173.png,3,1,-1,-1,1
174.png,4,-1,-1,1,1
176.png,1,-1,1,1,-1
177.png,1,-1,1,-1,1
178.png,4,-1,-1,1,1
179.png,-1,-1,-1,1,1
180.png,5,1,1,-1,-1
181.png,4,-1,-1,1,1
182.png,5,-1,1,-1,-1
183.png,1,-1,1,1,-1
184.png,4,1,1,1,-1
185.png,-1,-1,1,-1,1
186.png,4,-1,1,1,1
187.png,4,1,1,1,-1
188.png,5,-1,1,-1,-1
189.png,-1,-1,-1,-1,1
190.png,-1,1,1,1,1
191.png,-1,-1,-1,1,1
192.png,3,-1,1,1,1
194.png,5,-1,1,-1,-1
195.png,2,1,1,1,-1
196.png,1,-1,1,1,-1
197.png,4,-1,1,1,1
198.png,2,1,1,1,-1
199.png,3,-1,1,1,1
200.png,2,-1,1,1,-1
201.png,4,-1,1,1,1
202.png,-1,-1,-1,1,1
204.png,4,1,1,1,-1
205.png,1,-1,1,1,-1
206.png,-1,-1,1,1,1
208.png,4,-1,-1,1,1
209.png,-1,-1,1,1,1
210.png,4,-1,1,1,1
211.png,1,-1,1,1,-1
212.png,1,-1,1,1,-1
213.png,1,1,1,1,-1
214.png,5,-1,1,-1,-1
215.png,2,1,1,1,-1
216.png,1,-1,1,1,1
217.png,3,1,1,1,-1
218.png,-1,-1,-1,-1,1
219.png,3,1,1,1,-1
221.png,5,1,1,-1,-1
223.png,-1,-1,-1,1,1
224.png,-1,-1,-1,1,1
225.png,0,-1,-1,1,1
226.png,-1,-1,1,1,1
228.png,1,-1,1,1,-1
229.png,3,-1,1,1,1
230.png,1,-1,1,1,-1
231.png,5,-1,1,-1,-1
232.png,3,1,1,1,-1
233.png,4,-1,1,1,1
234.png,1,1,1,1,-1
235.png,1,1,1,1,-1
236.png,4,-1,1,1,1
237.png,1,1,1,1,-1
238.png,3,1,1,1,-1
239.png,4,-1,1,1,-1
240.png,0,-1,1,-1,-1
241.png,3,-1,1,1,-1
242.png,1,1,1,1,-1
243.png,4,-1,-1,1,1
244.png,1,1,-1,1,1
245.png,4,-1,1,1,1
246.png,-1,-1,-1,-1,1
